"PUMFID","WGHT_EPI","DDAY","STARTIME","ENDTIME","STARTMIN","ENDMIN","DURATION","LOCATION","origin","destination","dest","orig","YEAR","MODE"
10007,466.0426,6,1230,1300,750,780,30,315,300,309,"Restaurant, bar or club","home",2015,"walking"
10024,1114.0172,7,950,1010,590,610,20,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10024,1114.0172,7,1020,1040,620,640,20,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10027,801.5155,4,850,900,530,540,10,315,300,301,"work or school","home",2015,"walking"
10027,801.5155,4,1530,1540,930,940,10,315,301,300,"home","work or school",2015,"walking"
10031,1151.6956,3,900,920,540,560,20,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10031,1151.6956,3,1040,1100,640,660,20,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10039,1508.7606,3,900,905,540,545,5,315,300,307,"Library, museum or theatre","home",2015,"walking"
10040,600.362,6,1200,1410,720,850,130,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10040,600.362,6,1550,1600,950,960,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10041,1353.8178,4,825,840,505,520,15,315,300,300,"home","home",2015,"walking"
10042,2341.709,4,1745,1750,1065,1070,5,315,303,300,"home","other's home",2015,"walking"
10048,602.0894,4,615,640,375,400,25,315,300,303,"other's home","home",2015,"walking"
10048,602.0894,4,1200,1210,720,730,10,315,303,306,"Grocery store, other stores or mall","other's home",2015,"walking"
10048,602.0894,4,1255,1305,775,785,10,315,306,303,"other's home","Grocery store, other stores or mall",2015,"walking"
10048,602.0894,4,1350,1415,830,855,25,315,303,300,"home","other's home",2015,"walking"
10050,1695.1639,5,735,740,455,460,5,315,303,300,"home","other's home",2015,"walking"
10055,3831.0042,1,1600,1605,960,965,5,315,309,309,"Restaurant, bar or club","Restaurant, bar or club",2015,"walking"
10056,3433.4602,1,815,820,495,500,5,315,300,301,"work or school","home",2015,"walking"
10056,3433.4602,1,1400,1405,840,845,5,315,301,300,"home","work or school",2015,"walking"
10065,500.3623,3,1200,1245,720,765,45,315,300,300,"home","home",2015,"walking"
10077,1287.0748,2,910,940,550,580,30,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10077,1287.0748,2,1110,1140,670,700,30,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10077,1287.0748,2,1600,1610,960,970,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10077,1287.0748,2,1625,1635,985,995,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10090,1819.8142,7,1800,1810,1080,1090,10,315,303,309,"Restaurant, bar or club","other's home",2015,"walking"
10110,774.7046,3,1530,1540,930,940,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10111,2205.1491,7,2030,2045,1230,1245,15,315,300,309,"Restaurant, bar or club","home",2015,"walking"
10113,5758.03,1,1530,1550,930,950,20,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10113,5758.03,1,1605,1625,965,985,20,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10118,866.9631,2,1315,1325,795,805,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10118,866.9631,2,1345,1355,825,835,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10151,1078.5677,4,750,800,470,480,10,315,300,301,"work or school","home",2015,"walking"
10151,1078.5677,4,1435,1445,875,885,10,315,301,300,"home","work or school",2015,"walking"
10164,2104.3475,6,1300,1320,780,800,20,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10164,2104.3475,6,1530,1550,930,950,20,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10198,2520.928,6,900,925,540,565,25,315,300,301,"work or school","home",2015,"walking"
10198,2520.928,6,2000,2025,1200,1225,25,315,301,300,"home","work or school",2015,"walking"
10218,1643.6214,3,1130,1145,690,705,15,315,300,301,"work or school","home",2015,"walking"
10227,1362.995,7,930,1010,570,610,40,315,300,300,"home","home",2015,"walking"
10229,486.0801,3,1420,1430,860,870,10,315,300,300,"home","home",2015,"walking"
10233,802.8968,2,815,855,495,535,40,315,300,300,"home","home",2015,"walking"
10260,152.1124,1,1545,1555,945,955,10,315,305,300,"home","outdoors",2015,"walking"
10263,1634.4501,5,1100,1115,660,675,15,315,300,301,"work or school","home",2015,"walking"
10263,1634.4501,5,1230,1245,750,765,15,315,301,300,"home","work or school",2015,"walking"
10268,337.4087,3,1900,1910,1140,1150,10,315,300,303,"other's home","home",2015,"walking"
10268,337.4087,3,2030,2040,1230,1240,10,315,303,300,"home","other's home",2015,"walking"
10333,293.7015,1,1240,1250,760,770,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10334,683.6091,5,545,645,345,405,60,315,300,301,"work or school","home",2015,"walking"
10334,683.6091,5,1530,1630,930,990,60,315,301,300,"home","work or school",2015,"walking"
10383,1196.8585,7,1200,1210,720,730,10,315,309,306,"Grocery store, other stores or mall","Restaurant, bar or club",2015,"walking"
10383,1196.8585,7,1310,1320,790,800,10,315,306,303,"other's home","Grocery store, other stores or mall",2015,"walking"
10395,532.0461,4,1150,1205,710,725,15,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10402,2757.8588,1,1350,1405,830,845,15,315,300,303,"other's home","home",2015,"walking"
10402,2757.8588,1,1705,1720,1025,1040,15,315,303,300,"home","other's home",2015,"walking"
10418,2287.7061,4,1235,1245,755,765,10,315,300,303,"other's home","home",2015,"walking"
10437,867.0028,3,730,740,450,460,10,315,300,301,"work or school","home",2015,"walking"
10437,867.0028,3,1830,1840,1110,1120,10,315,301,300,"home","work or school",2015,"walking"
10438,590.4268,5,610,620,370,380,10,315,301,301,"work or school","work or school",2015,"walking"
10442,2900.4853,6,800,815,480,495,15,315,300,301,"work or school","home",2015,"walking"
10442,2900.4853,6,1800,1815,1080,1095,15,315,301,309,"Restaurant, bar or club","work or school",2015,"walking"
10442,2900.4853,6,1930,1935,1170,1175,5,315,309,300,"home","Restaurant, bar or club",2015,"walking"
10447,5483.2731,7,835,1010,515,610,95,315,300,300,"home","home",2015,"walking"
10451,6306.8639,1,1535,1550,935,950,15,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10451,6306.8639,1,1605,1620,965,980,15,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10460,1608.0765,2,850,855,530,535,5,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10466,1457.1354,1,1030,1045,630,645,15,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10466,1457.1354,1,1130,1145,690,705,15,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10469,1441.4188,7,950,955,590,595,5,315,309,300,"home","Restaurant, bar or club",2015,"walking"
10469,1441.4188,7,1440,1500,880,900,20,315,300,300,"home","home",2015,"walking"
10469,1441.4188,7,1530,1555,930,955,25,315,300,310,"Place of worship","home",2015,"walking"
10487,1352.5644,1,1640,1710,1000,1030,30,315,300,303,"other's home","home",2015,"walking"
10487,1352.5644,1,2000,2030,1200,1230,30,315,303,300,"home","other's home",2015,"walking"
10488,8585.4644,4,810,825,490,505,15,315,300,301,"work or school","home",2015,"walking"
10488,8585.4644,4,1500,1510,900,910,10,315,301,309,"Restaurant, bar or club","work or school",2015,"walking"
10503,1187.5814,5,840,845,520,525,5,315,305,309,"Restaurant, bar or club","outdoors",2015,"walking"
10540,833.3518,6,1700,1730,1020,1050,30,315,300,300,"home","home",2015,"walking"
10557,807.7235,7,1030,1035,630,635,5,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10557,807.7235,7,1105,1110,665,670,5,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10561,293.903,6,845,1015,525,615,90,315,300,300,"home","home",2015,"walking"
10572,1253.2733,7,1000,1010,600,610,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10572,1253.2733,7,1020,1030,620,630,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10572,1253.2733,7,1600,1615,960,975,15,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10572,1253.2733,7,1625,1635,985,995,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10573,1631.0923,5,420,450,260,290,30,315,300,301,"work or school","home",2015,"walking"
10573,1631.0923,5,520,530,320,330,10,315,301,301,"work or school","work or school",2015,"walking"
10573,1631.0923,5,1650,1715,1010,1035,25,315,301,300,"home","work or school",2015,"walking"
10575,1666.721,1,930,945,570,585,15,315,300,310,"Place of worship","home",2015,"walking"
10604,1132.8412,5,915,920,555,560,5,315,306,301,"work or school","Grocery store, other stores or mall",2015,"walking"
10612,215.8829,6,750,800,470,480,10,315,300,301,"work or school","home",2015,"walking"
